,team,web_name,id_x,chance_of_playing_next_round,now_cost,minutes,team_name,first_name,second_name,full_name,matches,name,link,season,fuzz_ratio
25,1,Willian,478,,80,2595,Arsenal,Willian,Borges Da Silva,WillianBorges Da Silva,Willian_Borges Da Silva,Willian_Borges Da Silva,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Willian_Borges%20Da%20Silva,2017-18,95
27,2,Heaton,28,0.0,45,1794,Aston Villa,Tom,Heaton,TomHeaton,Tom_Heaton,Tom_Heaton,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Tom_Heaton,2017-18,89
35,2,Mings,41,,50,2902,Aston Villa,Tyrone,Mings,TyroneMings,Tyrone_Mings,Tyrone_Mings,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Tyrone_Mings,2017-18,91
36,2,Targett,42,,45,2291,Aston Villa,Matt,Targett,MattTargett,Matt_Targett,Matt_Targett,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Matt_Targett,2017-18,91
43,3,Murray,53,0.0,50,785,Brighton,Glenn,Murray,GlennMurray,Glenn_Murray,Glenn_Murray,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Glenn_Murray,2017-18,91
44,3,Lallana,54,,65,371,Brighton,Adam,Lallana,AdamLallana,Adam_Lallana,Adam_Lallana,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Adam_Lallana,2017-18,91
45,3,Stephens,55,,45,2525,Brighton,Dale,Stephens,DaleStephens,Dale_Stephens,Dale_Stephens,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Dale_Stephens,2017-18,92
47,3,Groß,57,,60,1791,Brighton,Pascal,Groß,PascalGroß,Pascal_Groß,Pascal_Groß,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Pascal_Gro%C3%9F,2017-18,90
48,3,Duffy,58,0.0,45,1232,Brighton,Shane,Duffy,ShaneDuffy,Shane_Duffy,Shane_Duffy,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Shane_Duffy,2017-18,90
49,3,Pröpper,59,,50,2826,Brighton,Davy,Pröpper,DavyPröpper,Davy_Pröpper,Davy_Pröpper,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Davy_Pr%C3%B6pper,2017-18,91
50,3,Mooy,60,0.0,50,2079,Brighton,Aaron,Mooy,AaronMooy,Aaron_Mooy,Aaron_Mooy,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Aaron_Mooy,2017-18,89
52,3,Dunk,62,,50,3230,Brighton,Lewis,Dunk,LewisDunk,Lewis_Dunk,Lewis_Dunk,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Lewis_Dunk,2017-18,89
55,3,March,65,,50,1139,Brighton,Solomon,March,SolomonMarch,Solomon_March,Solomon_March,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Solomon_March,2017-18,92
60,3,Ryan,70,,45,3420,Brighton,Mathew,Ryan,MathewRyan,Mathew_Ryan,Mathew_Ryan,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Mathew_Ryan,2017-18,90
70,4,Tarkowski,81,,55,3420,Burnley,James,Tarkowski,JamesTarkowski,James_Tarkowski,James_Tarkowski,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/James_Tarkowski,2017-18,93
71,4,Bardsley,82,,45,1890,Burnley,Phil,Bardsley,PhilBardsley,Phil_Bardsley,Phil_Bardsley,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Phil_Bardsley,2017-18,92
72,4,Pieters,83,,45,1876,Burnley,Erik,Pieters,ErikPieters,Erik_Pieters,Erik_Pieters,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Erik_Pieters,2017-18,91
73,4,Cork,84,0.0,50,2614,Burnley,Jack,Cork,JackCork,Jack_Cork,Jack_Cork,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Jack_Cork,2017-18,88
74,4,Long,85,,45,562,Burnley,Kevin,Long,KevinLong,Kevin_Long,Kevin_Long,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Kevin_Long,2017-18,89
75,4,Rodriguez,86,,60,2002,Burnley,Jay,Rodriguez,JayRodriguez,Jay_Rodriguez,Jay_Rodriguez,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Jay_Rodriguez,2017-18,92
76,4,Barnes,87,,60,1350,Burnley,Ashley,Barnes,AshleyBarnes,Ashley_Barnes,Ashley_Barnes,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Ashley_Barnes,2017-18,92
77,4,Mee,88,,50,2880,Burnley,Ben,Mee,BenMee,Ben_Mee,Ben_Mee,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Ben_Mee,2017-18,83
78,4,Westwood,89,,55,3150,Burnley,Ashley,Westwood,AshleyWestwood,Ashley_Westwood,Ashley_Westwood,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Ashley_Westwood,2017-18,93
79,4,Gudmundsson,90,,55,617,Burnley,Johann Berg,Gudmundsson,Johann BergGudmundsson,Johann Berg_Gudmundsson,Johann Berg_Gudmundsson,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Johann%20Berg_Gudmundsson,2017-18,95
80,4,Wood,91,,65,2436,Burnley,Chris,Wood,ChrisWood,Chris_Wood,Chris_Wood,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Chris_Wood,2017-18,89
81,4,Lowton,92,,45,1530,Burnley,Matthew,Lowton,MatthewLowton,Matthew_Lowton,Matthew_Lowton,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Matthew_Lowton,2017-18,92
84,4,Brady,95,,50,445,Burnley,Robbie,Brady,RobbieBrady,Robbie_Brady,Robbie_Brady,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Robbie_Brady,2017-18,91
85,4,Pope,96,,55,3420,Burnley,Nick,Pope,NickPope,Nick_Pope,Nick_Pope,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Nick_Pope,2017-18,88
86,4,Taylor,97,,45,1944,Burnley,Charlie,Taylor,CharlieTaylor,Charlie_Taylor,Charlie_Taylor,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Charlie_Taylor,2017-18,92
89,4,McNeil,100,,60,3339,Burnley,Dwight,McNeil,DwightMcNeil,Dwight_McNeil,Dwight_McNeil,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Dwight_McNeil,2017-18,92
90,5,Caballero,101,,50,450,Chelsea,Willy,Caballero,WillyCaballero,Willy_Caballero,Willy_Caballero,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Willy_Caballero,2017-18,93
91,5,Azpilicueta,102,,60,3229,Chelsea,César,Azpilicueta,CésarAzpilicueta,César_Azpilicueta,César_Azpilicueta,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/C%C3%A9sar_Azpilicueta,2017-18,94
92,5,Giroud,103,,70,988,Chelsea,Olivier,Giroud,OlivierGiroud,Olivier_Giroud,Olivier_Giroud,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Olivier_Giroud,2017-18,92
93,5,Alonso,104,,60,1429,Chelsea,Marcos,Alonso,MarcosAlonso,Marcos_Alonso,Marcos_Alonso,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Marcos_Alonso,2017-18,92
94,5,Barkley,106,,60,1095,Chelsea,Ross,Barkley,RossBarkley,Ross_Barkley,Ross_Barkley,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Ross_Barkley,2017-18,91
96,5,Batshuayi,108,,60,224,Chelsea,Michy,Batshuayi,MichyBatshuayi,Michy_Batshuayi,Michy_Batshuayi,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Michy_Batshuayi,2017-18,93
97,5,Rüdiger,109,,50,1710,Chelsea,Antonio,Rüdiger,AntonioRüdiger,Antonio_Rüdiger,Antonio_Rüdiger,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Antonio_R%C3%BCdiger,2017-18,93
98,5,Zouma,110,,50,2343,Chelsea,Kurt,Zouma,KurtZouma,Kurt_Zouma,Kurt_Zouma,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Kurt_Zouma,2017-18,89
99,5,Emerson,111,,50,1022,Chelsea,Emerson,Palmieri dos Santos,EmersonPalmieri dos Santos,Emerson_Palmieri dos Santos,Emerson_Palmieri dos Santos,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Emerson_Palmieri%20dos%20Santos,2017-18,96
100,5,Kanté,113,,50,1730,Chelsea,N'Golo,Kanté,N'GoloKanté,N'Golo_Kanté,N'Golo_Kanté,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/N'Golo_Kant%C3%A9,2017-18,91
101,5,Loftus-Cheek,115,,60,203,Chelsea,Ruben,Loftus-Cheek,RubenLoftus-Cheek,Ruben_Loftus-Cheek,Ruben_Loftus-Cheek,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Ruben_Loftus-Cheek,2017-18,94
102,5,Christensen,116,,50,1751,Chelsea,Andreas,Christensen,AndreasChristensen,Andreas_Christensen,Andreas_Christensen,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Andreas_Christensen,2017-18,94
103,5,Abraham,118,,75,2206,Chelsea,Tammy,Abraham,TammyAbraham,Tammy_Abraham,Tammy_Abraham,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Tammy_Abraham,2017-18,92
106,5,Tomori,121,,50,1291,Chelsea,Fikayo,Tomori,FikayoTomori,Fikayo_Tomori,Fikayo_Tomori,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Fikayo_Tomori,2017-18,92
107,5,Hudson-Odoi,122,,60,849,Chelsea,Callum,Hudson-Odoi,CallumHudson-Odoi,Callum_Hudson-Odoi,Callum_Hudson-Odoi,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Callum_Hudson-Odoi,2017-18,94
109,5,Chilwell,232,0.0,55,2374,Chelsea,Benjamin,Chilwell,BenjaminChilwell,Benjamin_Chilwell,Benjamin_Chilwell,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Benjamin_Chilwell,2017-18,94
110,6,Cahill,125,0.0,45,2167,Crystal Palace,Gary,Cahill,GaryCahill,Gary_Cahill,Gary_Cahill,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Gary_Cahill,2017-18,90
111,6,Hennessey,126,,45,270,Crystal Palace,Wayne,Hennessey,WayneHennessey,Wayne_Hennessey,Wayne_Hennessey,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Wayne_Hennessey,2017-18,93
112,6,Sakho,127,0.0,45,929,Crystal Palace,Mamadou,Sakho,MamadouSakho,Mamadou_Sakho,Mamadou_Sakho,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Mamadou_Sakho,2017-18,92
114,6,Tomkins,129,0.0,45,1582,Crystal Palace,James,Tomkins,JamesTomkins,James_Tomkins,James_Tomkins,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/James_Tomkins,2017-18,92
115,6,McArthur,130,,55,3091,Crystal Palace,James,McArthur,JamesMcArthur,James_McArthur,James_McArthur,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/James_McArthur,2017-18,92
116,6,McCarthy,131,,45,1668,Crystal Palace,James,McCarthy,JamesMcCarthy,James_McCarthy,James_McCarthy,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/James_McCarthy,2017-18,92
117,6,Benteke,132,,55,1252,Crystal Palace,Christian,Benteke,ChristianBenteke,Christian_Benteke,Christian_Benteke,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Christian_Benteke,2017-18,94
118,6,Kouyaté,133,,50,2524,Crystal Palace,Cheikhou,Kouyaté,CheikhouKouyaté,Cheikhou_Kouyaté,Cheikhou_Kouyaté,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Cheikhou_Kouyat%C3%A9,2017-18,93
119,6,Ward,134,,45,2380,Crystal Palace,Joel,Ward,JoelWard,Joel_Ward,Joel_Ward,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Joel_Ward,2017-18,88
120,6,Kelly,135,,45,1547,Crystal Palace,Martin,Kelly,MartinKelly,Martin_Kelly,Martin_Kelly,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Martin_Kelly,2017-18,91
121,6,Wickham,136,,45,90,Crystal Palace,Connor,Wickham,ConnorWickham,Connor_Wickham,Connor_Wickham,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Connor_Wickham,2017-18,92
122,6,Townsend,137,,60,1284,Crystal Palace,Andros,Townsend,AndrosTownsend,Andros_Townsend,Andros_Townsend,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Andros_Townsend,2017-18,93
123,6,Milivojevic,138,,60,2510,Crystal Palace,Luka,Milivojevic,LukaMilivojevic,Luka_Milivojevic,Luka_Milivojevic,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Luka_Milivojevic,2017-18,93
124,6,van Aanholt,139,0.0,55,2507,Crystal Palace,Patrick,van Aanholt,Patrickvan Aanholt,Patrick_van Aanholt,Patrick_van Aanholt,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Patrick_van%20Aanholt,2017-18,94
125,6,Ayew,140,,60,3148,Crystal Palace,Jordan,Ayew,JordanAyew,Jordan_Ayew,Jordan_Ayew,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Jordan_Ayew,2017-18,90
126,6,Zaha,141,,70,3279,Crystal Palace,Wilfried,Zaha,WilfriedZaha,Wilfried_Zaha,Wilfried_Zaha,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Wilfried_Zaha,2017-18,92
127,6,Schlupp,142,,55,1030,Crystal Palace,Jeffrey,Schlupp,JeffreySchlupp,Jeffrey_Schlupp,Jeffrey_Schlupp,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Jeffrey_Schlupp,2017-18,93
129,6,Riedewald,144,,45,761,Crystal Palace,Jairo,Riedewald,JairoRiedewald,Jairo_Riedewald,Jairo_Riedewald,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Jairo_Riedewald,2017-18,93
130,6,Ferguson,145,0.0,40,0,Crystal Palace,Nathan,Ferguson,NathanFerguson,Nathan_Ferguson,Nathan_Ferguson,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Nathan_Ferguson,2017-18,93
132,6,Dann,486,,45,1264,Crystal Palace,Scott,Dann,ScottDann,Scott_Dann,Scott_Dann,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Scott_Dann,2017-18,89
133,7,Walcott,148,,60,1281,Everton,Theo,Walcott,TheoWalcott,Theo_Walcott,Theo_Walcott,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Theo_Walcott,2017-18,91
134,7,Delph,149,,50,1187,Everton,Fabian,Delph,FabianDelph,Fabian_Delph,Fabian_Delph,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Fabian_Delph,2017-18,91
135,7,Sigurdsson,150,,70,2555,Everton,Gylfi,Sigurdsson,GylfiSigurdsson,Gylfi_Sigurdsson,Gylfi_Sigurdsson,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Gylfi_Sigurdsson,2017-18,93
136,7,Lössl,151,,45,0,Everton,Jonas,Lössl,JonasLössl,Jonas_Lössl,Jonas_Lössl,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Jonas_L%C3%B6ssl,2017-18,90
137,7,Coleman,152,,50,1833,Everton,Seamus,Coleman,SeamusColeman,Seamus_Coleman,Seamus_Coleman,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Seamus_Coleman,2017-18,92
138,7,Tosun,153,0.0,60,462,Everton,Cenk,Tosun,CenkTosun,Cenk_Tosun,Cenk_Tosun,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Cenk_Tosun,2017-18,89
141,7,Keane,156,,50,2556,Everton,Michael,Keane,MichaelKeane,Michael_Keane,Michael_Keane,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Michael_Keane,2017-18,92
142,7,Pickford,157,,50,3420,Everton,Jordan,Pickford,JordanPickford,Jordan_Pickford,Jordan_Pickford,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Jordan_Pickford,2017-18,93
143,7,Iwobi,159,,60,1591,Everton,Alex,Iwobi,AlexIwobi,Alex_Iwobi,Alex_Iwobi,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Alex_Iwobi,2017-18,89
144,7,Kenny,160,,45,0,Everton,Jonjoe,Kenny,JonjoeKenny,Jonjoe_Kenny,Jonjoe_Kenny,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Jonjoe_Kenny,2017-18,91
146,7,Davies,163,,55,2020,Everton,Tom,Davies,TomDavies,Tom_Davies,Tom_Davies,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Tom_Davies,2017-18,89
147,7,Calvert-Lewin,164,,70,2621,Everton,Dominic,Calvert-Lewin,DominicCalvert-Lewin,Dominic_Calvert-Lewin,Dominic_Calvert-Lewin,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Dominic_Calvert-Lewin,2017-18,95
148,7,Holgate,165,,50,2052,Everton,Mason,Holgate,MasonHolgate,Mason_Holgate,Mason_Holgate,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Mason_Holgate,2017-18,92
149,7,Richarlison,166,,80,3070,Everton,Richarlison,de Andrade,Richarlisonde Andrade,Richarlison_de Andrade,Richarlison_de Andrade,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Richarlison_de%20Andrade,2017-18,95
158,8,Knockaert,177,,55,0,Fulham,Anthony,Knockaert,AnthonyKnockaert,Anthony_Knockaert,Anthony_Knockaert,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Anthony_Knockaert,2017-18,94
163,8,Mitrović,184,,60,0,Fulham,Aleksandar,Mitrović,AleksandarMitrović,Aleksandar_Mitrovic,Aleksandar_Mitrovic,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Aleksandar_Mitrovic,2017-18,94
164,8,Mawson,185,,45,0,Fulham,Alfie,Mawson,AlfieMawson,Alfie_Mawson,Alfie_Mawson,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Alfie_Mawson,2017-18,91
168,8,Lemina,493,,45,0,Fulham,Mario,Lemina,MarioLemina,Mario_Lemina,Mario_Lemina,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Mario_Lemina,2017-18,91
169,9,Morgan,216,75.0,45,430,Leicester,Wes,Morgan,WesMorgan,Wes_Morgan,Wes_Morgan,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Wes_Morgan,2017-18,89
170,9,Schmeichel,217,,55,3420,Leicester,Kasper,Schmeichel,KasperSchmeichel,Kasper_Schmeichel,Kasper_Schmeichel,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Kasper_Schmeichel,2017-18,94
171,9,Fuchs,218,0.0,45,770,Leicester,Christian,Fuchs,ChristianFuchs,Christian_Fuchs,Christian_Fuchs,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Christian_Fuchs,2017-18,93
172,9,Evans,219,0.0,55,3384,Leicester,Jonny,Evans,JonnyEvans,Jonny_Evans,Jonny_Evans,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Jonny_Evans,2017-18,90
174,9,Albrighton,221,,55,857,Leicester,Marc,Albrighton,MarcAlbrighton,Marc_Albrighton,Marc_Albrighton,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Marc_Albrighton,2017-18,93
175,9,James,222,,45,5,Leicester,Matty,James,MattyJames,Matty_James,Matty_James,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Matty_James,2017-18,90
176,9,Ward,223,,45,0,Leicester,Danny,Ward,DannyWard,Danny_Ward,Danny_Ward,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Danny_Ward,2017-18,89
177,9,Vardy,224,,100,3032,Leicester,Jamie,Vardy,JamieVardy,Jamie_Vardy,Jamie_Vardy,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Jamie_Vardy,2017-18,90
180,9,Amartey,227,0.0,40,0,Leicester,Daniel,Amartey,DanielAmartey,Daniel_Amartey,Daniel_Amartey,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Daniel_Amartey,2017-18,92
181,9,Pérez,229,,65,1998,Leicester,Ayoze,Pérez,AyozePérez,Ayoze_Pérez,Ayoze_Pérez,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Ayoze_P%C3%A9rez,2017-18,90
182,9,Gray,230,,55,605,Leicester,Demarai,Gray,DemaraiGray,Demarai_Gray,Demarai_Gray,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Demarai_Gray,2017-18,91
184,9,Iheanacho,233,,60,953,Leicester,Kelechi,Iheanacho,KelechiIheanacho,Kelechi_Iheanacho,Kelechi_Iheanacho,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Kelechi_Iheanacho,2017-18,94
185,9,Choudhury,234,,50,883,Leicester,Hamza,Choudhury,HamzaChoudhury,Hamza_Choudhury,Hamza_Choudhury,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Hamza_Choudhury,2017-18,93
186,9,Barnes,235,,70,2075,Leicester,Harvey,Barnes,HarveyBarnes,Harvey_Barnes,Harvey_Barnes,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Harvey_Barnes,2017-18,92
187,9,Ndidi,236,,50,2671,Leicester,Wilfred,Ndidi,WilfredNdidi,Wilfred_Ndidi,Wilfred_Ndidi,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Wilfred_Ndidi,2017-18,92
212,11,Milner,241,,55,924,Liverpool,James,Milner,JamesMilner,James_Milner,James_Milner,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/James_Milner,2017-18,91
214,11,Wijnaldum,243,,55,2933,Liverpool,Georginio,Wijnaldum,GeorginioWijnaldum,Georginio_Wijnaldum,Georginio_Wijnaldum,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Georginio_Wijnaldum,2017-18,94
215,11,Henderson,244,,55,2234,Liverpool,Jordan,Henderson,JordanHenderson,Jordan_Henderson,Jordan_Henderson,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Jordan_Henderson,2017-18,93
216,11,Adrián,245,,45,873,Liverpool,Adrián,San Miguel del Castillo,AdriánSan Miguel del Castillo,Adrián_San Miguel del Castillo,Adrián_San Miguel del Castillo,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Adri%C3%A1n_San%20Miguel%20del%20Castillo,2017-18,97
217,11,Matip,246,,55,703,Liverpool,Joel,Matip,JoelMatip,Joel_Matip,Joel_Matip,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Joel_Matip,2017-18,89
218,11,Shaqiri,247,,65,181,Liverpool,Xherdan,Shaqiri,XherdanShaqiri,Xherdan_Shaqiri,Xherdan_Shaqiri,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Xherdan_Shaqiri,2017-18,93
219,11,Chamberlain,248,50.0,65,1475,Liverpool,Alex,Oxlade-Chamberlain,AlexOxlade-Chamberlain,Alex_Oxlade-Chamberlain,Alex_Oxlade-Chamberlain,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Alex_Oxlade-Chamberlain,2017-18,95
