,team,web_name,id_x,chance_of_playing_next_round,now_cost,minutes,team_name,first_name,second_name,full_name,matches,name,link,season,fuzz_ratio
127,7,Keane,156,,50,2556,Everton,Michael,Keane,MichaelKeane,Michael_Keane_162,Michael_Keane_162,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Michael_Keane_162,2018-19,92
128,7,Pickford,157,,50,3420,Everton,Jordan,Pickford,JordanPickford,Jordan_Pickford_154,Jordan_Pickford_154,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Jordan_Pickford_154,2018-19,93
129,7,André Gomes,158,,55,1457,Everton,André Filipe,Tavares Gomes,André FilipeTavares Gomes,André Filipe_Tavares Gomes_508,André Filipe_Tavares Gomes_508,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Andr%C3%A9%20Filipe_Tavares%20Gomes_508,2018-19,96
130,7,Iwobi,159,,60,1591,Everton,Alex,Iwobi,AlexIwobi,Alex_Iwobi_15,Alex_Iwobi_15,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Alex_Iwobi_15,2018-19,89
131,7,Kenny,160,,45,0,Everton,Jonjoe,Kenny,JonjoeKenny,Jonjoe_Kenny_161,Jonjoe_Kenny_161,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Jonjoe_Kenny_161,2018-19,91
132,7,Mina,162,,55,2281,Everton,Yerry,Mina,YerryMina,Yerry_Mina_506,Yerry_Mina_506,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Yerry_Mina_506,2018-19,89
133,7,Davies,163,,55,2020,Everton,Tom,Davies,TomDavies,Tom_Davies_169,Tom_Davies_169,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Tom_Davies_169,2018-19,89
134,7,Calvert-Lewin,164,,70,2621,Everton,Dominic,Calvert-Lewin,DominicCalvert-Lewin,Dominic_Calvert-Lewin_175,Dominic_Calvert-Lewin_175,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Dominic_Calvert-Lewin_175,2018-19,95
135,7,Holgate,165,,50,2052,Everton,Mason,Holgate,MasonHolgate,Mason_Holgate_160,Mason_Holgate_160,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Mason_Holgate_160,2018-19,92
136,7,Richarlison,166,,80,3070,Everton,Richarlison,de Andrade,Richarlisonde Andrade,Richarlison_de Andrade_393,Richarlison_de Andrade_393,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Richarlison_de%20Andrade_393,2018-19,95
138,8,Fabri,171,,40,0,Fulham,Fabricio,Agosto Ramírez,FabricioAgosto Ramírez,Fabricio_Agosto Ramírez_474,Fabricio_Agosto Ramírez_474,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Fabricio_Agosto%20Ram%C3%ADrez_474,2018-19,95
139,8,McDonald,172,,50,0,Fulham,Kevin,McDonald,KevinMcDonald,Kevin_McDonald_183,Kevin_McDonald_183,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Kevin_McDonald_183,2018-19,92
140,8,Le Marchand,173,,45,0,Fulham,Maxime,Le Marchand,MaximeLe Marchand,Maxime_Le Marchand_455,Maxime_Le Marchand_455,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Maxime_Le%20Marchand_455,2018-19,94
141,8,Johansen,174,,50,0,Fulham,Stefan,Johansen,StefanJohansen,Stefan_Johansen_185,Stefan_Johansen_185,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Stefan_Johansen_185,2018-19,93
142,8,Cairney,175,,55,0,Fulham,Tom,Cairney,TomCairney,Tom_Cairney_182,Tom_Cairney_182,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Tom_Cairney_182,2018-19,90
143,8,Ream,176,,45,0,Fulham,Tim,Ream,TimReam,Tim_Ream_180,Tim_Ream_180,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Tim_Ream_180,2018-19,86
144,8,Knockaert,177,,55,0,Fulham,Anthony,Knockaert,AnthonyKnockaert,Anthony_Knockaert_55,Anthony_Knockaert_55,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Anthony_Knockaert_55,2018-19,94
146,8,Christie,179,,45,0,Fulham,Cyrus,Christie,CyrusChristie,Cyrus_Christie_460,Cyrus_Christie_460,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Cyrus_Christie_460,2018-19,92
147,8,Kebano,180,,50,0,Fulham,Neeskens,Kebano,NeeskensKebano,Neeskens_Kebano_187,Neeskens_Kebano_187,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Neeskens_Kebano_187,2018-19,93
149,8,Bryan,182,,50,0,Fulham,Joe,Bryan,JoeBryan,Joe_Bryan_510,Joe_Bryan_510,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Joe_Bryan_510,2018-19,88
150,8,Bettinelli,183,,45,0,Fulham,Marcus,Bettinelli,MarcusBettinelli,Marcus_Bettinelli_178,Marcus_Bettinelli_178,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Marcus_Bettinelli_178,2018-19,94
151,8,Mitrović,184,,60,0,Fulham,Aleksandar,Mitrović,AleksandarMitrović,Aleksandar_Mitrovic_480,Aleksandar_Mitrovic_480,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Aleksandar_Mitrovic_480,2018-19,94
152,8,Mawson,185,,45,0,Fulham,Alfie,Mawson,AlfieMawson,Alfie_Mawson_487,Alfie_Mawson_487,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Alfie_Mawson_487,2018-19,91
153,8,Seri,189,,50,0,Fulham,Jean Michaël,Seri,Jean MichaëlSeri,Jean Michael_Seri_456,Jean Michael_Seri_456,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Jean%20Michael_Seri_456,2018-19,88
154,8,Kamara,190,,50,0,Fulham,Aboubakar,Kamara,AboubakarKamara,Aboubakar_Kamara_189,Aboubakar_Kamara_189,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Aboubakar_Kamara_189,2018-19,93
