,home_team,away_team,home_odds,away_odds
55,Swansea,Stoke,0.4347826086956522,0.31347962382445144
56,West Ham,Everton,0.27027027027027023,0.48309178743961356
57,Middlesbrough,Arsenal,0.15408320493066255,0.6622516556291391
58,Manchester Utd,Chelsea,0.3546099290780142,0.35842293906810035
59,West Brom,Liverpool,0.2188183807439825,0.5405405405405405
60,Southampton,Manchester City,0.2136752136752137,0.5714285714285714
61,Crystal Palace,Leicester,0.49504950495049505,0.25
62,Everton,Burnley,0.6578947368421053,0.13513513513513511
63,Stoke,Hull,0.5050505050505051,0.24096385542168672
64,Sunderland,West Ham,0.3676470588235294,0.37453183520599254
65,Watford,Swansea,0.36900369003690037,0.3496503496503497
66,Spurs,Bournemouth,0.8064516129032259,0.078064012490242
67,Crystal Palace,Arsenal,0.21645021645021645,0.5714285714285714
68,Everton,Leicester,0.5681818181818182,0.2032520325203252
69,Sunderland,Manchester Utd,0.11123470522803114,0.7194244604316548
70,Bournemouth,Chelsea,0.1510574018126888,0.6493506493506493
71,Manchester City,Hull,0.8474576271186441,0.061766522544780725
72,Middlesbrough,Burnley,0.39840637450199207,0.31347962382445144
73,Stoke,Liverpool,0.29154518950437314,0.44052863436123346
74,West Brom,Southampton,0.33003300330033003,0.3921568627450981
75,West Ham,Swansea,0.4587155963302752,0.27932960893854747
76,Spurs,Watford,0.8130081300813008,0.07220216606498195
77,Chelsea,Manchester City,0.4504504504504504,0.2824858757062147
78,Liverpool,Bournemouth,0.6993006993006994,0.12285012285012284
79,Arsenal,West Ham,0.7042253521126761,0.13717421124828533
80,Hull,Middlesbrough,0.4854368932038835,0.23980815347721823
81,Southampton,Crystal Palace,0.53475935828877,0.2127659574468085
82,Swansea,Spurs,0.18148820326678766,0.5952380952380952
83,Manchester Utd,Everton,0.6289308176100629,0.1545595054095827
84,Burnley,Stoke,0.4048582995951417,0.3048780487804878
85,Leicester,Sunderland,0.6666666666666666,0.13793103448275862
86,Watford,West Brom,0.40322580645161293,0.30959752321981426
87,Arsenal,Manchester City,0.3496503496503497,0.41493775933609955
88,Swansea,Middlesbrough,0.5263157894736842,0.21321961620469082
89,Southampton,Bournemouth,0.6024096385542169,0.18083182640144665
90,Burnley,Spurs,0.19762845849802374,0.5649717514124294
91,Chelsea,Crystal Palace,0.7518796992481203,0.09124087591240876
92,Hull,West Ham,0.41841004184100417,0.31347962382445144
93,Leicester,Stoke,0.5235602094240838,0.22624434389140272
94,Manchester Utd,West Brom,0.7246376811594204,0.10764262648008613
95,Watford,Sunderland,0.5102040816326531,0.23923444976076558
96,Liverpool,Everton,0.5780346820809249,0.1838235294117647
97,Manchester City,Liverpool,0.5128205128205129,0.25380710659898476
98,Spurs,Southampton,0.5847953216374269,0.18348623853211007
99,Middlesbrough,Manchester Utd,0.16835016835016833,0.5988023952095809
100,Bournemouth,Swansea,0.4629629629629629,0.2808988764044944
101,Crystal Palace,Watford,0.5263157894736842,0.2145922746781116
102,Everton,Hull,0.6369426751592356,0.15060240963855423
103,Stoke,Chelsea,0.17006802721088435,0.5952380952380952
104,Sunderland,Burnley,0.3802281368821293,0.33557046979865773
105,West Ham,Leicester,0.42016806722689076,0.3184713375796178
106,West Brom,Arsenal,0.17793594306049823,0.6097560975609756
107,Liverpool,Burnley,0.7874015748031495,0.0796812749003984
108,Bournemouth,West Ham,0.390625,0.35335689045936397
109,Everton,West Brom,0.6060606060606061,0.16501650165016502
110,Hull,Swansea,0.4,0.32894736842105265
111,Manchester City,Stoke,0.8130081300813008,0.07288629737609328
112,West Ham,Chelsea,0.16556291390728478,0.625
113,Sunderland,Manchester City,0.08968609865470852,0.78125
114,Spurs,Everton,0.625,0.17006802721088435
115,Liverpool,Arsenal,0.5025125628140703,0.2506265664160401
116,Leicester,Hull,0.5434782608695652,0.20576131687242796
117,Stoke,Middlesbrough,0.5,0.2222222222222222
118,Swansea,Burnley,0.5025125628140703,0.23094688221709006
119,Watford,Southampton,0.2518891687657431,0.48780487804878053
120,West Brom,Crystal Palace,0.4385964912280702,0.2840909090909091
121,Manchester Utd,Bournemouth,0.8,0.0744047619047619
122,Leicester,Liverpool,0.17889087656529518,0.6060606060606061
123,Spurs,Stoke,0.7246376811594204,0.11235955056179775
124,Watford,West Ham,0.36101083032490977,0.35714285714285715
125,Chelsea,Swansea,0.7936507936507936,0.07621951219512195
126,Crystal Palace,Middlesbrough,0.47619047619047616,0.23980815347721823
127,Everton,Sunderland,0.7092198581560284,0.12391573729863692
128,Hull,Burnley,0.46511627906976744,0.25641025641025644
129,West Brom,Bournemouth,0.4629629629629629,0.26525198938992045
130,Bournemouth,Manchester City,0.13262599469496023,0.7042253521126761
131,Swansea,Leicester,0.4016064257028112,0.32573289902280134
132,Burnley,Chelsea,0.12437810945273634,0.6802721088435374
133,Liverpool,Spurs,0.4484304932735426,0.28901734104046245
134,Manchester Utd,Watford,0.7936507936507936,0.07593014426727411
135,Middlesbrough,Everton,0.26246719160104987,0.4672897196261682
136,Stoke,Crystal Palace,0.45454545454545453,0.2710027100271003
137,Sunderland,Southampton,0.2590673575129534,0.48780487804878053
138,West Ham,West Brom,0.4385964912280702,0.2840909090909091
139,Arsenal,Hull,0.7692307692307692,0.09066183136899365
140,Leicester,Manchester Utd,0.18832391713747648,0.5780346820809249
141,Manchester City,Swansea,0.819672131147541,0.07163323782234957
142,Spurs,Middlesbrough,0.7751937984496123,0.08340283569641367
143,Crystal Palace,Sunderland,0.5847953216374269,0.18148820326678766
144,Everton,Bournemouth,0.5847953216374269,0.18761726078799248
145,Hull,Liverpool,0.14556040756914118,0.6578947368421053
146,Southampton,West Ham,0.5617977528089888,0.20491803278688525
147,Watford,Burnley,0.4716981132075471,0.24937655860349128
148,West Brom,Stoke,0.4166666666666667,0.3021148036253776
149,Chelsea,Arsenal,0.4854368932038835,0.24330900243309
150,Manchester Utd,Hull,0.8333333333333334,0.061274509803921566
151,Stoke,Everton,0.3225806451612903,0.4065040650406504
152,West Ham,Manchester City,0.17605633802816903,0.6329113924050632
153,Liverpool,Chelsea,0.38759689922480617,0.3278688524590164
154,Arsenal,Watford,0.8130081300813008,0.07158196134574087
155,Bournemouth,Crystal Palace,0.4694835680751174,0.26595744680851063
156,Burnley,Leicester,0.3436426116838488,0.37593984962406013
157,Middlesbrough,West Brom,0.3663003663003663,0.33112582781456956
158,Sunderland,Spurs,0.11389521640091117,0.7352941176470588
159,Swansea,Southampton,0.30864197530864196,0.42372881355932207
160,Chelsea,Hull,0.8474576271186441,0.05537098560354375
161,Arsenal,Burnley,0.8264462809917356,0.06365372374283895
162,Southampton,Leicester,0.5524861878453039,0.19801980198019803
163,Manchester City,Spurs,0.4716981132075471,0.2747252747252747
164,Bournemouth,Watford,0.5291005291005292,0.2242152466367713
165,Crystal Palace,Everton,0.32679738562091504,0.4048582995951417
166,Middlesbrough,West Ham,0.3952569169960475,0.31446540880503143
167,Stoke,Manchester Utd,0.16863406408094436,0.6211180124223602
168,West Brom,Sunderland,0.5952380952380952,0.17574692442882248
169,Liverpool,Swansea,0.8,0.0779423226812159
170,Manchester Utd,Liverpool,0.5025125628140703,0.2347417840375587
171,Everton,Manchester City,0.2159827213822894,0.5524861878453039
172,Leicester,Chelsea,0.20161290322580647,0.5494505494505494
173,Burnley,Southampton,0.22727272727272727,0.5102040816326531
174,Hull,Bournemouth,0.32894736842105265,0.4098360655737705
175,Sunderland,Stoke,0.29325513196480935,0.4484304932735426
176,Swansea,Arsenal,0.14792899408284024,0.6711409395973155
177,Watford,Middlesbrough,0.41841004184100417,0.29411764705882354
178,West Ham,Crystal Palace,0.4166666666666667,0.30959752321981426
179,Spurs,West Brom,0.7462686567164178,0.09208103130755065
180,Spurs,Chelsea,0.3676470588235294,0.33783783783783783
181,Crystal Palace,Swansea,0.5434782608695652,0.21691973969631234
182,Stoke,Watford,0.5524861878453039,0.2008032128514056
183,Bournemouth,Arsenal,0.19120458891013384,0.5988023952095809
